Title,Main Link,Sub Link,Status
"Arguing with Digital History working group, “Digital History and Argument,” white paper",https://rrchnm.org/essays/arguing-with-digital-history-working-group-digital-history-and-argument-white-paper/,https://rrchnm.org/portfolio-item/digital-history-argument-white-paper/,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /portfolio-item/digital-history-argument-white-paper/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://public-history-weekly.degruyter.com/5-2017-20/students-history-community-engaged-learning/,status code: 403
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref1,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref2,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref3,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref4,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref5,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ref6,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://neworleanshistorical.org/,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://jasonheppler.org/jasonheppler/2016/08/26/syllabus-for-teaching-digital-public-history/,status code: 404
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ftn1,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://www.uno.edu/campus-news/2016/UNO-to-Hold-First-Michael-Mizell-Nelson-Public-History-Lecture.aspx,status code: 404
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ftn2,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://neworleanshistorical.org/,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://www.poboyfest.com/,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://www.loyno.edu/streetcarstories/,status code: 404
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ftn3,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ftn4,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://dx.doi.org/10.3998/dh.12146032.0001.001,working
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ftn5,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://www.nps.gov/nr/publications/bulletins/nrb41/nrb41_5.htm,status code: 404
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/#ftn6,"error: HTTPSConnectionPool(host='rrchnm.org', port=443): Max retries exceeded with url: /essays/helping-students-make-history-community-engaged-learning/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate is not yet valid (_ssl.c:1002)')))"
Helping Students Make History: Community Engaged Learning,https://rrchnm.org/essays/helping-students-make-history-community-engaged-learning/,http://edwired.org/2015/06/19/does-playfulness-crowd-out-rigor/,status code: 404
